kind,alpha,frequency_MHz,area_m2,dipoles_per_tile,before_n,after_n,before_rate_as_printed,after_rate_per_year,ratio_after_removing_normalization
dish,-1.0,400.0,26.700000000000003,,681,680,82.16400445773256,39733.176621551014,0.9985315712187958
dish,-1.0,400.0,26.800000000000004,,679,678,81.92270047988312,39616.31433736998,0.9985272459499263
dish,-1.0,400.0,26.900000000000002,,677,676,81.68139650203368,39499.45205318894,0.9985228951255538
dish,-1.0,400.0,27.000000000000004,,675,675,81.44009252418424,39441.02091109843,1.0
dish,-1.0,400.0,27.1,,674,673,81.31944053525952,39324.15862691739,0.9985163204747775
dish,-1.0,400.0,27.200000000000003,,672,671,81.07813655741009,39207.29634273636,0.9985119047619045
dish,-1.0,400.0,27.300000000000004,,670,669,80.83683257956066,39090.43405855533,0.9985074626865669
dish,-1.0,400.0,27.400000000000002,,668,667,80.59552860171122,38973.5717743743,0.998502994011976
dish,-1.0,400.0,27.500000000000004,,666,666,80.35422462386178,38915.14063228379,1.0000000000000002
dish,-1.0,400.0,27.6,,665,664,80.23357263493708,38798.27834810275,0.9984962406015035
dish,-1.0,400.0,27.700000000000003,,663,662,79.99226865708764,38681.416063921715,0.9984917043740572
dish,-1.0,400.0,27.800000000000004,,661,660,79.7509646792382,38564.55377974069,0.9984871406959153
dish,-1.0,400.0,27.900000000000002,,659,658,79.50966070138877,38447.69149555966,0.9984825493171472
dish,-1.0,400.0,28.000000000000004,,658,657,79.38900871246405,38389.26035346914,0.9984802431610942
dish,-1.0,400.0,28.1,,656,655,79.1477047346146,38272.3980692881,0.9984756097560974
